V_r,I_ub,I_b,I_φ
0.183,-0.063,0.0013,-0.0617
0.184,-0.102,0.0013,-0.1007
0.185,-0.062,0.0013,-0.0607
0.186,-0.015000000000000013,0.0013,-0.013700000000000014
0.187,-0.021999999999999992,0.0013,-0.020699999999999993
0.188,-0.032,0.0013,-0.0307
0.189,-0.0040000000000000036,0.0013,-0.0027000000000000036
0.19,-0.026999999999999996,0.0013,-0.025699999999999997
0.191,-0.069,0.0013,-0.06770000000000001
0.192,-0.096,0.0013,-0.0947
0.193,-0.04600000000000001,0.0013,-0.04470000000000001
0.194,-0.049000000000000016,0.0013,-0.04770000000000001
0.195,-0.05399999999999999,0.0013,-0.05269999999999999
0.196,-0.009000000000000008,0.0013,-0.007700000000000008
0.197,-0.01200000000000001,0.0013,-0.010700000000000012
0.198,-0.07500000000000001,0.0013,-0.07370000000000002
0.199,-0.037000000000000005,0.0013,-0.0357
0.2,-0.006000000000000005,0.0013,-0.004700000000000005
0.201,-0.020000000000000018,0.0013,-0.01870000000000002
0.202,-0.07500000000000001,0.0013,-0.07370000000000002
0.203,-0.086,0.0013,-0.0847
0.20400000000000001,-0.016000000000000014,0.0013,-0.014700000000000015
0.20500000000000002,-0.031,0.0013,-0.0297
0.20600000000000002,-0.005999999999999978,0.0013,-0.004699999999999978
0.20700000000000002,-0.09299999999999999,0.0013,-0.09169999999999999
0.20800000000000002,-0.025999999999999995,0.0013,-0.024699999999999996
0.209,-0.010999999999999982,0.0013,-0.009699999999999983
0.21,-0.088,0.0013,-0.0867
0.211,-0.015999999999999986,0.0013,-0.014699999999999987
0.212,-0.04999999999999999,0.0013,-0.048699999999999986
0.213,-0.07699999999999999,0.0013,-0.07569999999999999
0.214,-0.061,0.0013,-0.059699999999999996
0.215,-0.02099999999999999,0.0013,-0.019699999999999992
0.216,-0.009000000000000008,0.0013,-0.007700000000000008
0.217,0.0010000000000000009,0.0013,0.002300000000000001
0.218,-0.0030000000000000027,0.0013,-0.0017000000000000027
0.219,-0.04899999999999999,0.0013,-0.047699999999999985
0.22,-0.0050000000000000044,0.0013,-0.0037000000000000045
0.221,-0.04100000000000001,0.0013,-0.039700000000000006
0.222,-0.01899999999999999,0.0013,-0.01769999999999999
0.223,-0.021999999999999992,0.0013,-0.020699999999999993
0.224,-0.0030000000000000027,0.0013,-0.0017000000000000027
0.225,-0.0020000000000000018,0.0013,-0.0007000000000000018
0.226,-0.01999999999999999,0.0013,-0.01869999999999999
0.227,-0.069,0.0013,-0.06770000000000001
0.228,-0.08100000000000002,0.0013,-0.07970000000000002
0.229,-0.031,0.0013,-0.0297
0.23,-0.019000000000000017,0.0013,-0.017700000000000018
0.231,-0.04300000000000001,0.0013,-0.04170000000000001
0.232,-0.08200000000000002,0.0013,-0.08070000000000002
0.233,-0.019000000000000017,0.0013,-0.017700000000000018
0.234,-0.07500000000000001,0.0013,-0.07370000000000002
0.23500000000000001,-0.058000000000000024,0.0013,-0.05670000000000002
0.23600000000000002,-0.009000000000000008,0.0013,-0.007700000000000008
0.23700000000000002,-0.010000000000000009,0.0013,-0.00870000000000001
0.23800000000000002,-0.06999999999999998,0.0013,-0.06869999999999998
0.23900000000000002,-0.00799999999999998,0.0013,-0.006699999999999979
0.24,-0.013999999999999985,0.0013,-0.012699999999999986
0.241,-0.00899999999999998,0.0013,-0.00769999999999998
0.242,-0.04099999999999998,0.0013,-0.03969999999999998
0.243,-0.03999999999999998,0.0013,-0.03869999999999998
0.244,-0.068,0.0013,-0.06670000000000001
0.245,-0.07999999999999999,0.0013,-0.07869999999999999
0.246,-0.006000000000000005,0.0013,-0.004700000000000005
0.247,-0.04999999999999999,0.0013,-0.048699999999999986
0.248,-0.056999999999999995,0.0013,-0.05569999999999999
0.249,-0.044999999999999984,0.0013,-0.04369999999999998
0.25,-0.07999999999999999,0.0013,-0.07869999999999999
0.251,0.007000000000000006,0.0013,0.008300000000000005
0.252,-0.07800000000000001,0.0013,-0.07670000000000002
0.253,-0.007000000000000006,0.0013,-0.005700000000000006
0.254,-0.022999999999999993,0.0013,-0.021699999999999994
0.255,-0.04600000000000001,0.0013,-0.04470000000000001
0.256,0.006000000000000005,0.0013,0.007300000000000005
0.257,-0.069,0.0013,-0.06770000000000001
0.258,0.006000000000000005,0.0013,0.007300000000000005
0.259,-0.018000000000000016,0.0013,-0.016700000000000017
0.26,0.0,0.0013,0.0013
0.261,-0.009000000000000008,0.0013,-0.007700000000000008
0.262,-0.01100000000000001,0.0013,-0.00970000000000001
0.263,-0.065,0.0013,-0.0637
0.264,-0.0030000000000000027,0.0013,-0.0017000000000000027
0.265,-0.009000000000000008,0.0013,-0.007700000000000008
0.266,-0.07700000000000001,0.0013,-0.07570000000000002
0.267,-0.030000000000000027,0.0013,-0.028700000000000028
0.268,-0.02100000000000002,0.0013,-0.01970000000000002
0.269,-0.07400000000000001,0.0013,-0.07270000000000001
0.27,0.006000000000000005,0.0013,0.007300000000000005
0.271,-0.060000000000000026,0.0013,-0.05870000000000002
0.272,-0.07400000000000001,0.0013,-0.07270000000000001
0.273,-0.04100000000000001,0.0013,-0.039700000000000006
0.274,-0.059000000000000025,0.0013,-0.05770000000000002
0.275,-0.07000000000000003,0.0013,-0.06870000000000004
0.276,0.013999999999999957,0.0013,0.015299999999999956
0.277,-0.06600000000000003,0.0013,-0.06470000000000004
0.278,-0.05000000000000002,0.0013,-0.048700000000000014
0.279,-0.05700000000000002,0.0013,-0.05570000000000002
0.28,-0.06200000000000003,0.0013,-0.060700000000000025
0.281,-0.06799999999999998,0.0013,-0.06669999999999998
0.28200000000000003,-0.04500000000000004,0.0013,-0.04370000000000004
0.28300000000000003,-0.06099999999999997,0.0013,-0.05969999999999997
0.28400000000000003,-0.021999999999999964,0.0013,-0.020699999999999965
0.28500000000000003,-0.010999999999999954,0.0013,-0.009699999999999955
0.28600000000000003,-0.011999999999999955,0.0013,-0.010699999999999956
0.28700000000000003,-0.06799999999999998,0.0013,-0.06669999999999998
0.28800000000000003,0.013000000000000012,0.0013,0.01430000000000001
0.289,-0.019999999999999962,0.0013,-0.018699999999999963
0.29,-0.05499999999999999,0.0013,-0.05369999999999999
0.291,-0.01699999999999996,0.0013,-0.01569999999999996
0.292,0.009000000000000008,0.0013,0.010300000000000007
0.293,-0.01899999999999996,0.0013,-0.017699999999999962
0.294,-0.061,0.0013,-0.059699999999999996
0.295,-0.045999999999999985,0.0013,-0.04469999999999998
0.296,-0.06999999999999998,0.0013,-0.06869999999999998
0.297,-0.035999999999999976,0.0013,-0.034699999999999974
0.298,-0.04999999999999999,0.0013,-0.048699999999999986
0.299,-0.016000000000000014,0.0013,-0.014700000000000015
0.3,0.009000000000000008,0.0013,0.010300000000000007
0.301,-0.014000000000000012,0.0013,-0.012700000000000013
0.302,-0.056999999999999995,0.0013,-0.05569999999999999
0.303,-0.0010000000000000009,0.0013,0.00029999999999999905
0.304,0.01100000000000001,0.0013,0.012300000000000009
0.305,-0.010000000000000009,0.0013,-0.00870000000000001
0.306,0.015000000000000013,0.0013,0.016300000000000012
0.307,-0.02300000000000002,0.0013,-0.02170000000000002
0.308,0.0010000000000000009,0.0013,0.002300000000000001
0.309,0.01100000000000001,0.0013,0.012300000000000009
0.31,-0.05099999999999999,0.0013,-0.04969999999999999
0.311,-0.017000000000000015,0.0013,-0.015700000000000016
0.312,0.008000000000000007,0.0013,0.009300000000000006
0.313,-0.029000000000000026,0.0013,-0.027700000000000027
0.314,-0.055999999999999994,0.0013,-0.05469999999999999
0.315,-0.0030000000000000027,0.0013,-0.0017000000000000027
0.316,-0.067,0.0013,-0.06570000000000001
0.317,-0.017000000000000015,0.0013,-0.015700000000000016
0.318,0.0,0.0013,0.0013
0.319,-0.046999999999999986,0.0013,-0.045699999999999984
0.32,-0.039000000000000035,0.0013,-0.03770000000000003
0.321,-0.055999999999999994,0.0013,-0.05469999999999999
0.322,-0.06,0.0013,-0.058699999999999995
0.323,-0.04199999999999998,0.0013,-0.04069999999999998
0.324,-0.056999999999999995,0.0013,-0.05569999999999999
0.325,-0.04200000000000004,0.0013,-0.040700000000000035
0.326,0.015000000000000013,0.0013,0.016300000000000012
0.327,-0.041000000000000036,0.0013,-0.039700000000000034
0.328,0.013000000000000012,0.0013,0.01430000000000001
0.329,-0.04300000000000004,0.0013,-0.041700000000000036
0.33,-0.0010000000000000009,0.0013,0.00029999999999999905
0.331,0.010000000000000009,0.0013,0.011300000000000008
0.332,0.0030000000000000027,0.0013,0.004300000000000003
0.333,0.01100000000000001,0.0013,0.012300000000000009
0.334,-0.009000000000000008,0.0013,-0.007700000000000008
0.335,-0.0050000000000000044,0.0013,-0.0037000000000000045
0.336,-0.056999999999999995,0.0013,-0.05569999999999999
0.337,-0.066,0.0013,-0.06470000000000001
0.338,-0.028000000000000025,0.0013,-0.026700000000000026
0.339,-0.020000000000000018,0.0013,-0.01870000000000002
0.34,-0.04300000000000004,0.0013,-0.041700000000000036
0.341,0.020999999999999963,0.0013,0.022299999999999962
0.342,-0.056999999999999995,0.0013,-0.05569999999999999
